artistName,trackName,msPlayed
YG,666 (feat. YoungBoy Never Broke Again),925482
Quavo,FLIP THE SWITCH (feat. Drake),327075
Isaiah Rashad,Smile,203371
Drake,Nice For What,0
BlocBoy JB,Look Alive (feat. Drake),0
Justin Timberlake,Higher Higher,1971
Drake,Nice For What,210746
Drake,Houstatlantavegas,14485
Drake,Lust For Life,55526
Drake,Let’s Call It Off (feat. Peter Bjorn and John),1045
Drake,Successful (feat. Trey Songz & Lil Wayne),71061
Drake,Say What's Real,0
Drake,A Night Off (feat. Lloyd),0
Drake,Ignant Shit (feat. Lil Wayne),704
Drake,November 18th,93461
Drake,God's Plan,198973
Drake,Nonstop,38948
Eric B. & Rakim,Follow The Leader,325034
YG,666 (feat. YoungBoy Never Broke Again),43264
Quavo,FLIP THE SWITCH (feat. Drake),61973
Eagles,I Can't Tell You Why - 2013 Remaster,295049
Hot Since 82,The Core (feat. Alex Mills),162604
Sage The Gemini,Mack Down,98431
Sage The Gemini,Mack Down,243050
Justin Timberlake,Man of the Woods,789
Quavo,LAMB TALK,1194
RJMrLA,Personal Day,2602
A$AP Rocky,Praise The Lord (Da Shine) (feat. Skepta),9514
RJMrLA,Personal Day,13248
Beastie Boys,Paul Revere,128
Mariah Carey,Love Takes Time,768
Mariah Carey,Love Takes Time,1600
SOB X RBE,Paramedic!,26688
SOB X RBE,Paramedic!,65472
"Tyler, The Creator",Sometimes...,703
Eminem,No Love,1002
Kiki Lesendric & Piloti,Noc kao iz sna,2005
No Doubt,Don't Speak,3328
Machine Gun Kelly,Wild Boy,54784
Waylon Jennings,Honky Tonk Heroes,0
Justin Timberlake,Flannel,362
OG Ron C,"Patience (feat. Niddie Banga, Darkskin & Prezi) - Chopped Not Slopped",1450
Disturbed,Darkness,1920
David Gilmour,Castellorizon,9322
David Gilmour,Castellorizon,27072
Al B. Sure!,Just a Taste of Lovin',141482
Mariah Carey,Alone In Love,192012
Mariah Carey,Alone In Love,661
Jessica Blue,The Dark Of Light - Club Mix,38506
Loose Ends,Slow Down,303280
Mariah Carey,Alone In Love,205489
Jessica Blue,The Dark Of Light - Club Mix,384
Thes One,Let Me Break It Down,597
Dizharmonia,Karteria,960
Redlight,Threshold - Redlight's Fast Flamingo Eddie Mix,332160
Tullio De Piscopo,Stop Bajon - Club Mix,214476
Enoo Napa,High in Your Love,255274
Playboi Carti,Pull Up,285048
Playboi Carti,Old Money,69149
Eliot Lipp,Getting' Money,206573
Fitz and The Tantrums,Don't Gotta Work It Out,249693
Crooked Colours,In Your Bones (Chiefs Remix),83061
Art Department,Without You - Extended 12- mix,517000
Bedouin,Guacamole - Original Mix,385573
YokoO,Tarantism,417140
Fur Coat,Inner Circle,504073
Solomun,Customer Is King,476237
Bedouin,Set The Controls For The Heart Of The Sun - Original Mix,455685
Bedouin,Real Lies,546374
Tim Engelhardt,Trabant,29427
Jessica Blue,The Dark Of Light - Club Mix,3326
Mariah Carey,Alone In Love,381485
Mariah Carey,Alone In Love,670452
Mariah Carey,Alone In Love,251773
