danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.574,0.629,2,-8.815,0,0.0363,0.128,0.0,0.271,0.786,153.119,audio_features,4jDmJ51x1o9NZB5Nxxc7gY,spotify:track:4jDmJ51x1o9NZB5Nxxc7gY,https://api.spotify.com/v1/tracks/4jDmJ51x1o9NZB5Nxxc7gY,https://api.spotify.com/v1/audio-analysis/4jDmJ51x1o9NZB5Nxxc7gY,300107,4
0.556,0.588,6,-7.443,0,0.0376,0.349,0.00828,0.116,0.666,110.58,audio_features,24Mx7vklBWuqFjsHMO8ofZ,spotify:track:24Mx7vklBWuqFjsHMO8ofZ,https://api.spotify.com/v1/tracks/24Mx7vklBWuqFjsHMO8ofZ,https://api.spotify.com/v1/audio-analysis/24Mx7vklBWuqFjsHMO8ofZ,326907,4
0.794,0.691,10,-7.884,0,0.0448,0.0111,0.445,0.089,0.27,121.003,audio_features,5DyJ6ZiiqEJEevoWr5lWac,spotify:track:5DyJ6ZiiqEJEevoWr5lWac,https://api.spotify.com/v1/tracks/5DyJ6ZiiqEJEevoWr5lWac,https://api.spotify.com/v1/audio-analysis/5DyJ6ZiiqEJEevoWr5lWac,414475,4
0.721,0.621,1,-4.378,1,0.306,0.00469,0.0103,0.199,0.568,159.967,audio_features,24PWKmemCvqfyVXODhoKHW,spotify:track:24PWKmemCvqfyVXODhoKHW,https://api.spotify.com/v1/tracks/24PWKmemCvqfyVXODhoKHW,https://api.spotify.com/v1/audio-analysis/24PWKmemCvqfyVXODhoKHW,228933,4
0.725,0.723,8,-6.067,0,0.16,0.0119,0.0,0.086,0.509,140.003,audio_features,3L0IKstjUgDFVQAbQIRZRv,spotify:track:3L0IKstjUgDFVQAbQIRZRv,https://api.spotify.com/v1/tracks/3L0IKstjUgDFVQAbQIRZRv,https://api.spotify.com/v1/audio-analysis/3L0IKstjUgDFVQAbQIRZRv,192027,4
0.716,0.618,2,-10.227,1,0.338,0.0271,0.0,0.342,0.584,162.957,audio_features,0syXbGoFZbTMXm8hGCEvW0,spotify:track:0syXbGoFZbTMXm8hGCEvW0,https://api.spotify.com/v1/tracks/0syXbGoFZbTMXm8hGCEvW0,https://api.spotify.com/v1/audio-analysis/0syXbGoFZbTMXm8hGCEvW0,135547,4
0.795,0.568,5,-7.817,0,0.142,0.0541,0.0,0.108,0.478,136.173,audio_features,0B8QzDH7YWih85V5SEMnyJ,spotify:track:0B8QzDH7YWih85V5SEMnyJ,https://api.spotify.com/v1/tracks/0B8QzDH7YWih85V5SEMnyJ,https://api.spotify.com/v1/audio-analysis/0B8QzDH7YWih85V5SEMnyJ,198944,4
0.873,0.452,0,-7.124,0,0.369,0.0474,0.0,0.0495,0.585,77.031,audio_features,2rFXS1iNJqCUrcU21fJfe7,spotify:track:2rFXS1iNJqCUrcU21fJfe7,https://api.spotify.com/v1/tracks/2rFXS1iNJqCUrcU21fJfe7,https://api.spotify.com/v1/audio-analysis/2rFXS1iNJqCUrcU21fJfe7,162400,4
0.373,0.571,7,-9.186,0,0.0334,0.392,0.0476,0.126,0.656,161.874,audio_features,4Lz33Oi0UQ6SECXsT80Tx2,spotify:track:4Lz33Oi0UQ6SECXsT80Tx2,https://api.spotify.com/v1/tracks/4Lz33Oi0UQ6SECXsT80Tx2,https://api.spotify.com/v1/audio-analysis/4Lz33Oi0UQ6SECXsT80Tx2,331173,3
0.419,0.934,7,-3.908,0,0.12,0.000278,0.0015,0.132,0.286,127.288,audio_features,2DlHlPMa4M17kufBvI2lEN,spotify:track:2DlHlPMa4M17kufBvI2lEN,https://api.spotify.com/v1/tracks/2DlHlPMa4M17kufBvI2lEN,https://api.spotify.com/v1/audio-analysis/2DlHlPMa4M17kufBvI2lEN,210240,4
